Tanggal,Harga
1/3/2025,1543000
1/4/2025,1539000
1/5/2025,1539000
1/6/2025,1539000
1/7/2025,1535000
1/8/2025,1541000
1/9/2025,1546000
1/10/2025,1555000
1/11/2025,1568000
1/12/2025,1568000
1/13/2025,1568000
1/14/2025,1560000
1/15/2025,1564000
1/16/2025,1577000
1/17/2025,1594000
1/18/2025,1587000
1/19/2025,1587000
1/20/2025,1585000
1/21/2025,1591000
1/22/205,1606000
1/23/2025,1607000
1/24/2025,1608000
1/25/2025,1611000
1/26/2025,1611000
1/27/2025,1609000
1/28/2025,1597000
1/29/2025,1607000
1/30/2025,1606000
1/31/2025,1620000
2/1/2025,1624000
2/2/2025,1624000
2/3/2025,1621000
2/4/2025,1650000
2/5/2025,1663000
2/6/2025,1670000
2/7/2025,1660000
2/8/2025,1662000
2/9/2025,1662000
2/10/2025,1667000
2/11/2025,1692000
2/12/2025,1684000
2/13/2025,1692000
2/14/2025,1701000
2/15/2025,1678000
2/16/2025,1678000
2/17/2025,1671000
2/18/2025,1679000
2/19/2025,1691000
2/20/2025,1708000
2/21/2025,1707000
2/22/2025,1704000
2/23/2025,1704000
2/24/2025,1705000
2/25/2025,1707000
2/26/2025,1694000
2/27/2025,1692000
2/28/2025,1678000
3/1/2025,1672000
3/2/2025,1672000
3/3/2025,1679000
3/4/2025,1704000
3/5/2025,1709000
3/6/2025,1706000
3/7/2025,1690000
3/8/2025,1690000
3/9/2025,1690000
3/10/2025,1693000
3/11/2025,1679000
3/12/2025,1702000
3/13/2025,1714000
3/14/2025,1742000
3/15/2025,1739000
3/16/2025,1739000
3/17/2025,1741000
3/18/2025,1745000
3/19/2025,1759000
3/20/2025,1774000
3/21/2025,1779000
3/22/2025,1764000
3/23/2025,1764000
3/24/2025,1765000
3/25/2025,1759000
3/26/2025,1769000
3/27/2025,1776000
3/28/2025,1792000
3/29/2025,1806000
3/30/2025,1806000
4/1/2025,1826000
4/2/2025,1819000
4/3/2025,1836000
4/4/2025,1819000
4/5/2025,1781000
4/6/2025,1781000
4/7/2025,1758000
4/8/2025,1754000
4/9/2025,1812000
4/10/2025,1846000
4/11/2025,1889000
4/12/2025,1904000
4/13/2025,1904000
4/14/2025,1896000
4/15/2025,1896000
4/16/2025,1943000
4/17/2025,1975000
4/18/2025,1965000
4/19/2025,1965000
4/20/2025,1965000
4/21/2025,1980000
4/22/2025,2039000
4/23/2025,1991000
4/24/2025,1969000
4/25/2025,1986000
4/26/2025,1965000
4/27/2025,1965000
4/28/2025,1960000
4/29/2025,1966000
4/30/2025,1965000
5/1/2025,1932000
5/2/2025,1912000
5/3/2025,1902000
5/4/2025,1902000
5/5/2025,1905000
5/6/2025,1931000
5/7/2025,1956000
5/8/2025,1953000
5/9/2025,1926000
5/10/2025,1928000
5/11/2025,1928000
5/12/2025,1905000
5/13/2025,1884000
5/14/2025,1886000
5/15/2025,1866000
5/16/2025,1891000
5/17/2025,1871000
5/18/2025,1871000
5/19/2025,1894000
5/20/2025,1871000
5/21/2025,1915000
5/22/2025,1923000
5/23/2025,1910000
5/24/2025,1930000
5/25/2025,1930000
5/26/2025,1919000
5/27/2025,1923000
5/28/2025,1895000
5/29/2025,1874000
5/30/2025,1900000
5/31/2025,1888000
6/1/2025,1888000
6/2/2025,1905000
6/3/2025,1940000
6/4/2025,1924000
6/5/2025,1938000
6/6/2025,1929000
6/7/2025,1904000
6/8/2025,1904000
6/9/2025,1904000
6/10/2025,1909000
6/11/2025,1910000
6/12/2025,1928000
6/13/2025,1951000
6/14/2025,1960000
6/15/2025,1960000
6/16/2025,1968000
6/17/2025,1950000
6/18/2025,1943000
6/19/2025,1937000
